Word,Word Lemma,Word Stem,Negative,Positive,Warmth Direction,Ability Direction
AARDVARK,AARDVARK,AARDVARK,0,0,0.0,0.0
AARDVARKS,AARDVARK,AARDVARK,0,0,0.0,0.0
ABACI,ABACUS,ABACU,0,0,0.0,0.0
ABACK,ABACK,ABACK,0,0,0.0,0.0
ABACUS,ABACUS,ABACU,0,0,0.0,0.0
ABACUSES,ABACUS,ABACU,0,0,0.0,0.0
ABAFT,ABAFT,ABAFT,0,0,0.0,0.0
ABALONE,ABALONE,ABALON,0,0,0.0,0.0
ABALONES,ABALONE,ABALON,0,0,0.0,0.0
ABANDON,ABANDON,ABANDON,1,0,0.0,0.0
ABANDONED,ABANDON,ABANDON,1,0,0.0,0.0
ABANDONING,ABANDON,ABANDON,1,0,0.0,0.0
ABANDONMENT,ABANDONMENT,ABANDON,1,0,0.0,0.0
ABANDONMENTS,ABANDONMENT,ABANDON,1,0,0.0,0.0
ABANDONS,ABANDON,ABANDON,1,0,0.0,0.0
ABASE,ABASE,ABAS,0,0,0.0,0.0
ABASED,ABASE,ABAS,0,0,0.0,0.0
ABASEMENT,ABASEMENT,ABAS,0,0,0.0,0.0
ABASEMENTS,ABASEMENT,ABAS,0,0,0.0,0.0
ABASES,ABA,ABA,0,0,0.0,0.0
ABASH,ABASH,ABASH,0,0,0.0,0.0
ABASHED,ABASH,ABASH,0,0,0.0,0.0
ABASHEDLY,ABASHEDLY,ABASHEDLI,0,0,0.0,0.0
ABASHES,ABASHES,ABASH,0,0,0.0,0.0
ABASHING,ABASH,ABASH,0,0,0.0,0.0
ABASHMENT,ABASHMENT,ABASH,0,0,0.0,0.0
ABASHMENTS,ABASHMENT,ABASH,0,0,0.0,0.0
ABASING,ABASE,ABAS,0,0,0.0,0.0
ABATE,ABATE,ABAT,0,0,0.0,0.0
ABATED,ABATE,ABAT,0,0,0.0,0.0
ABATEMENT,ABATEMENT,ABAT,0,0,0.0,0.0
ABATEMENTS,ABATEMENT,ABAT,0,0,0.0,0.0
ABATES,ABATES,ABAT,0,0,0.0,0.0
ABATING,ABATE,ABAT,0,0,0.0,0.0
ABATTOIR,ABATTOIR,ABATTOIR,0,0,0.0,0.0
ABATTOIRS,ABATTOIR,ABATTOIR,0,0,0.0,0.0
ABBE,ABBE,ABB,0,0,0.0,0.0
ABBES,ABBE,ABB,0,0,0.0,0.0
ABBESS,ABBESS,ABBESS,0,0,0.0,0.0
ABBESSES,ABBESS,ABBESS,0,0,0.0,0.0
ABBEY,ABBEY,ABBEY,0,0,0.0,0.0
ABBEYS,ABBEY,ABBEY,0,0,0.0,0.0
ABBOT,ABBOT,ABBOT,0,0,0.0,0.0
ABBOTS,ABBOT,ABBOT,0,0,0.0,0.0
